cal_date,cal_val,date_key,dist_val,steps_val,very_val,mod_val,light_val,active_mins,wfh_flg
04/24/17,2349.36,170424,744482,10671,86,62,0,148,0
04/25/17,2636.43,170425,1130034,16366,74,32,0,106,1
04/26/17,2657.82,170426,562677,7939,126,20,0,146,0
04/27/17,2315.41,170427,1071780,14297,74,36,0,110,0
04/28/17,2725.63,170428,1200618,17133,76,80,0,156,0
04/29/17,2179.7,170429,517639,7556,52,44,0,96,1
04/30/17,2376.23,170430,441839,6195,70,32,0,102,1
05/01/17,2415.92,170501,926701,12604,90,12,0,102,0
05/02/17,2387.78,170502,761968,10530,82,12,0,94,1
05/03/17,2342.84,170503,948349,13097,94,32,0,126,0
05/04/17,2320.17,170504,643416,9322,68,44,0,112,0
05/05/17,2405.3,170505,754517,10501,70,42,0,112,0
05/06/17,2429.08,170506,763271,10243,74,22,0,96,1
05/07/17,2209.83,170507,738410,10484,20,38,0,58,1
05/08/17,2205.66,170508,769963,11068,26,10,0,36,0
05/09/17,2143.18,170509,565461,8120,8,12,0,20,1
05/10/17,2280.14,170510,774870,11043,98,18,0,116,0
05/11/17,1911.51,170511,157090,2293,4,24,0,28,0
05/12/17,2091.84,170512,391514,5715,0,0,0,0,0
05/13/17,2296.98,170513,489646,7147,0,48,0,48,1
05/14/17,2078.17,170514,387540,5583,0,0,0,0,1
05/15/17,2137.38,170515,358159,5228,20,16,0,36,0
05/16/17,2119.79,170516,526673,7688,42,4,0,46,1
05/17/17,2204.67,170517,507420,7407,36,16,0,52,0
05/18/17,1746.5,170518,187571,2738,0,0,0,0,0
05/19/17,2006.27,170519,318579,4530,24,26,0,50,0
05/20/17,2110.79,170520,422136,6162,0,0,0,0,1
05/21/17,2112.35,170521,607011,8797,0,22,0,22,1
05/22/17,2302.69,170522,560367,8180,88,10,0,98,0
05/23/17,2669.01,170523,533182,7287,138,52,0,190,1
05/24/17,2415.05,170524,1135567,14513,78,36,0,114,0
05/25/17,1998.87,170525,880030,12080,0,0,0,0,0
05/26/17,2028.31,170526,271711,3966,0,0,0,0,0
05/27/17,2341.7,170527,755491,10126,38,18,0,56,1
05/28/17,1896.39,170528,245506,3521,0,0,0,0,1
05/29/17,2032.92,170529,409219,5904,6,16,0,22,0
05/30/17,1903.48,170530,266012,3883,0,0,0,0,1
05/31/17,2030.64,170531,373264,5388,4,6,0,10,0
06/01/17,2298.93,170601,776478,10223,72,8,0,80,0
06/02/17,2058.73,170602,366302,5347,4,16,0,20,0
06/03/17,2412.73,170603,509009,7430,2,62,0,64,1
06/04/17,2039.72,170604,497981,7269,4,12,0,16,1
06/05/17,1931,170605,438714,6404,0,0,0,0,0
06/06/17,1585.1,170606,33639,491,0,0,0,0,1
06/07/17,1585.1,170607,0,0,0,0,0,0,0
06/08/17,1585.1,170608,0,0,0,0,0,0,0
06/09/17,1874.05,170609,225453,3291,0,0,0,0,0
06/10/17,1882.65,170610,207573,3030,0,0,0,0,1
06/11/17,2241.28,170611,383907,5604,4,20,0,24,1
06/12/17,2170.55,170612,591417,8633,0,0,0,0,0
06/13/17,2165.45,170613,692749,9982,34,6,0,40,1
06/14/17,2154.71,170614,474194,6922,44,6,0,50,0
06/15/17,2361.12,170615,567634,8286,22,14,0,36,0
06/16/17,2434.44,170616,965845,13703,66,16,0,82,0
06/17/17,1890.3,170617,363355,5304,0,0,0,0,1
06/18/17,1925.98,170618,248891,3633,0,14,0,14,1
06/19/17,2624.3,170619,738206,10776,86,46,0,132,0
06/20/17,2015.01,170620,552157,8060,0,0,0,0,1
06/21/17,2027.34,170621,271767,3967,6,16,0,22,0
06/22/17,2010.56,170622,466597,6811,0,0,0,0,0
06/23/17,2071.08,170623,362264,5288,8,10,0,18,0
06/24/17,1918.99,170624,241973,3532,0,0,0,0,1
06/25/17,2008.72,170625,397272,5799,0,0,0,0,1
06/26/17,2015.16,170626,214635,3133,14,12,0,26,0
06/27/17,2122.48,170627,581126,8419,36,20,0,56,1
06/28/17,2486.83,170628,739855,10734,72,14,0,86,0
06/29/17,2233.06,170629,720316,10515,34,8,0,42,0
06/30/17,1865.61,170630,264305,3858,0,0,0,0,0
